18:27:51 | +24.35s | tts_0 | WARNING | No se pudo generar TTS real (Command '['powershell', '-NoProfile', '-Command', 'Add-Type -AssemblyName System.Speech; $voice = New-Object System.Speech.Synthesis.SpeechSynthesizer; $voice.SetOutputToWaveFile($args[0]); $voice.Speak($args[1]); $voice.Dispose();', 'C:\\Users\\USER\\Desktop\\progra3\\TTS_P3\\temp_audio\\fragmento_009.wav', 'salvo que mi presencia te resulte perjudicial, pues sé que, de algún modo, lo es asi Quizá estas palabras nacen de mi debilidad, o de la sospecha de que esta será la última vez que']' returned non-zero exit status 1.). Se crea audio silencioso.
18:27:51 | +24.35s | tts_0 | INFO | Fragmento 9 listo: fragmento_009.wav
18:27:51 | +25.11s | MainThread | INFO | Termino fragmento 6
18:27:51 | +25.11s | MainThread | INFO | Reproduciendo fragmento 7
18:27:51 | +25.11s | tts_0 | INFO | Generando fragmento 10
18:27:52 | +25.42s | tts_0 | WARNING | No se pudo generar TTS real (Command '['powershell', '-NoProfile', '-Command', 'Add-Type -AssemblyName System.Speech; $voice = New-Object System.Speech.Synthesis.SpeechSynthesizer; $voice.SetOutputToWaveFile($args[0]); $voice.Speak($args[1]); $voice.Dispose();', 'C:\\Users\\USER\\Desktop\\progra3\\TTS_P3\\temp_audio\\fragmento_010.wav', 'tenga noticia de ti, pero aun así, lo único que deseo es tu bienestar, y si mi ausencia ha de concedértelo, entonces será suficiente Realmente espero que te encuentres muy bien']' returned non-zero exit status 1.). Se crea audio silencioso.
18:27:52 | +25.43s | tts_0 | INFO | Fragmento 10 listo: fragmento_010.wav
18:27:53 | +26.25s | MainThread | INFO | Termino fragmento 7
18:27:53 | +26.25s | MainThread | INFO | Reproduciendo fragmento 8
18:27:53 | +26.25s | tts_0 | INFO | Generando fragmento 11
18:27:53 | +26.56s | tts_0 | WARNING | No se pudo generar TTS real (Command '['powershell', '-NoProfile', '-Command', 'Add-Type -AssemblyName System.Speech; $voice = New-Object System.Speech.Synthesis.SpeechSynthesizer; $voice.SetOutputToWaveFile($args[0]); $voice.Speak($args[1]); $voice.Dispose();', 'C:\\Users\\USER\\Desktop\\progra3\\TTS_P3\\temp_audio\\fragmento_011.wav', 'próximamente desde lo más profundo y más complejo de mi ser y existir']' returned non-zero exit status 1.). Se crea audio silencioso.
18:27:53 | +26.56s | tts_0 | INFO | Fragmento 11 listo: fragmento_011.wav
18:27:54 | +27.38s | MainThread | INFO | Termino fragmento 8
18:27:54 | +27.38s | MainThread | INFO | Reproduciendo fragmento 9
18:27:55 | +28.52s | MainThread | INFO | Termino fragmento 9
18:27:55 | +28.52s | MainThread | INFO | Reproduciendo fragmento 10
18:27:56 | +29.66s | MainThread | INFO | Termino fragmento 10
18:27:56 | +29.66s | MainThread | INFO | Reproduciendo fragmento 11
18:27:57 | +30.79s | MainThread | INFO | Termino fragmento 11
18:27:57 | +30.79s | MainThread | INFO | Resumen concurrente: 11 fragmentos procesados en 30.77 segundos
18:28:19 | +0.06s | MainThread | INFO | Inicio modo concurrente/streaming con 11 fragmentos
18:28:19 | +0.06s | tts_0 | INFO | Generando fragmento 1
18:28:20 | +0.87s | tts_0 | INFO | Fragmento 1 listo: fragmento_001.wav
18:28:20 | +0.87s | MainThread | INFO | Reproduciendo fragmento 1
18:28:20 | +0.87s | tts_0 | INFO | Generando fragmento 2
18:28:20 | +1.54s | tts_0 | INFO | Fragmento 2 listo: fragmento_002.wav
18:28:20 | +1.54s | tts_0 | INFO | Generando fragmento 3
18:28:21 | +2.04s | tts_0 | INFO | Fragmento 3 listo: fragmento_003.wav
18:28:21 | +2.04s | tts_0 | INFO | Generando fragmento 4
18:28:22 | +2.80s | tts_0 | INFO | Fragmento 4 listo: fragmento_004.wav
18:28:30 | +10.75s | MainThread | INFO | Termino fragmento 1
18:28:30 | +10.75s | MainThread | INFO | Reproduciendo fragmento 2
18:28:30 | +10.76s | tts_0 | INFO | Generando fragmento 5
18:28:30 | +11.20s | tts_0 | INFO | Fragmento 5 listo: fragmento_005.wav
18:28:39 | +20.19s | MainThread | INFO | Termino fragmento 2
18:28:39 | +20.19s | MainThread | INFO | Reproduciendo fragmento 3
18:28:39 | +20.19s | tts_0 | INFO | Generando fragmento 6
18:28:39 | +20.60s | tts_0 | INFO | Fragmento 6 listo: fragmento_006.wav
18:28:40 | +21.24s | MainThread | INFO | Termino fragmento 3
18:28:40 | +21.24s | MainThread | INFO | Reproduciendo fragmento 4
18:28:40 | +21.24s | tts_0 | INFO | Generando fragmento 7
18:28:40 | +21.70s | tts_0 | INFO | Fragmento 7 listo: fragmento_007.wav
18:28:41 | +22.30s | MainThread | INFO | Termino fragmento 4
18:28:41 | +22.30s | MainThread | INFO | Reproduciendo fragmento 5
18:28:41 | +22.30s | tts_0 | INFO | Generando fragmento 8
18:28:42 | +22.75s | tts_0 | INFO | Fragmento 8 listo: fragmento_008.wav
18:28:42 | +23.35s | MainThread | INFO | Termino fragmento 5
18:28:42 | +23.35s | MainThread | INFO | Reproduciendo fragmento 6
18:28:42 | +23.35s | tts_0 | INFO | Generando fragmento 9
18:28:43 | +23.81s | tts_0 | INFO | Fragmento 9 listo: fragmento_009.wav
18:28:43 | +24.40s | MainThread | INFO | Termino fragmento 6
18:28:43 | +24.40s | MainThread | INFO | Reproduciendo fragmento 7
18:28:43 | +24.40s | tts_0 | INFO | Generando fragmento 10
18:28:44 | +24.84s | tts_0 | INFO | Fragmento 10 listo: fragmento_010.wav
18:28:44 | +25.44s | MainThread | INFO | Termino fragmento 7
18:28:44 | +25.44s | MainThread | INFO | Reproduciendo fragmento 8
18:28:44 | +25.44s | tts_0 | INFO | Generando fragmento 11
18:28:45 | +25.90s | tts_0 | INFO | Fragmento 11 listo: fragmento_011.wav
18:28:45 | +26.50s | MainThread | INFO | Termino fragmento 8
18:28:45 | +26.50s | MainThread | INFO | Reproduciendo fragmento 9
